2018 Rank,City,State,2018 estimate,2010 Census,Change,2016 land area (sq mile),2016 land area(sq km),2016 population density (per sq mile),2016 population density (per sq km),location
263,Pompano Beach,Florida,111954,99845,+12.13%,24.0,62.2,"4,558","1,760",26°14′30″N 80°08′02″W﻿ / ﻿26.2416°N 80.1339°W﻿ / 26.2416; -80.1339﻿ (Pompano Beach)
264,Pueblo,Colorado,111750,106595,+4.84%,53.6,138.8,"2,058",795,38°16′12″N 104°36′44″W﻿ / ﻿38.2699°N 104.6123°W﻿ / 38.2699; -104.6123﻿ (Pueblo)
265,Elgin,Illinois,111683,108188,+3.23%,37.4,96.9,"2,998","1,158",42°02′23″N 88°19′18″W﻿ / ﻿42.0396°N 88.3217°W﻿ / 42.0396; -88.3217﻿ (Elgin)
266,Lowell,Massachusetts,111670,106519,+4.84%,13.6,35.2,"8,129","3,139",42°38′20″N 71°19′16″W﻿ / ﻿42.6390°N 71.3211°W﻿ / 42.6390; -71.3211﻿ (Lowell)
267,Antioch,California,111535,102372,+8.95%,29.4,76.1,"3,772","1,456",37°58′45″N 121°47′46″W﻿ / ﻿37.9791°N 121.7962°W﻿ / 37.9791; -121.7962﻿ (Antioch)
268,West Palm Beach,Florida,111398,99919,+11.49%,55.1,142.7,"1,963",758,26°44′47″N 80°07′30″W﻿ / ﻿26.7464°N 80.1251°W﻿ / 26.7464; -80.1251﻿ (West Palm Beach)
269,Peoria,Illinois,111388,115007,−3.15%,48.2,124.8,"2,371",915,40°45′05″N 89°37′03″W﻿ / ﻿40.7515°N 89.6174°W﻿ / 40.7515; -89.6174﻿ (Peoria)
270,Everett,Washington,111262,103019,+8.00%,33.3,86.2,"3,275","1,264",47°57′24″N 122°11′29″W﻿ / ﻿47.9566°N 122.1914°W﻿ / 47.9566; -122.1914﻿ (Everett)
271,Ventura,California,111128,106433,+4.41%,21.8,56.5,"5,027","1,941",34°16′04″N 119°15′15″W﻿ / ﻿34.2678°N 119.2542°W﻿ / 34.2678; -119.2542﻿ (Ventura)
272,Centennial,Colorado,110831,100377,+10.41%,29.5,76.4,"3,727","1,439",39°35′26″N 104°52′09″W﻿ / ﻿39.5906°N 104.8691°W﻿ / 39.5906; -104.8691﻿ (Centennial)
273,Lakeland,Florida,110516,97422,+13.44%,65.9,170.7,"1,615",624,28°03′20″N 81°57′18″W﻿ / ﻿28.0555°N 81.9549°W﻿ / 28.0555; -81.9549﻿ (Lakeland)
274,Gresham,Oregon,110158,105594,+4.32%,23.3,60.3,"4,786","1,848",45°30′08″N 122°26′30″W﻿ / ﻿45.5023°N 122.4416°W﻿ / 45.5023; -122.4416﻿ (Gresham)
275,Richmond,California,110146,103701,+6.21%,30.1,78.0,"3,648","1,409",37°57′08″N 122°21′38″W﻿ / ﻿37.9523°N 122.3606°W﻿ / 37.9523; -122.3606﻿ (Richmond)
276,Billings,Montana,109550,104170,+5.16%,43.7,113.2,"2,525",975,45°47′19″N 108°33′00″W﻿ / ﻿45.7885°N 108.5499°W﻿ / 45.7885; -108.5499﻿ (Billings)
277,Inglewood,California,109419,109673,−0.23%,9.1,23.6,"12,160","4,700",33°57′22″N 118°20′39″W﻿ / ﻿33.9561°N 118.3443°W﻿ / 33.9561; -118.3443﻿ (Inglewood)
278,Broken Arrow,Oklahoma,109171,98850,+10.44%,61.7,159.8,"1,741",672,36°02′11″N 95°46′52″W﻿ / ﻿36.0365°N 95.7810°W﻿ / 36.0365; -95.7810﻿ (Broken Arrow)
279,Sandy Springs,Georgia,108797,93853,+15.92%,37.7,97.6,"2,804","1,083",33°55′53″N 84°22′07″W﻿ / ﻿33.9315°N 84.3687°W﻿ / 33.9315; -84.3687﻿ (Sandy Springs)
280,Jurupa Valley,California,108393,0,NA,42.9,111.1,"2,414",932,34°00′09″N 117°28′03″W﻿ / ﻿34.0026°N 117.4676°W﻿ / 34.0026; -117.4676﻿ (Jurupa Valley)
281,Hillsboro,Oregon,108389,91611,+18.31%,25.0,64.7,"4,207","1,624",45°31′41″N 122°56′09″W﻿ / ﻿45.5280°N 122.9357°W﻿ / 45.5280; -122.9357﻿ (Hillsboro)
282,Waterbury,Connecticut,108093,110366,−2.06%,28.5,73.8,"3,799","1,467",41°33′31″N 73°02′12″W﻿ / ﻿41.5585°N 73.0367°W﻿ / 41.5585; -73.0367﻿ (Waterbury)
283,Santa Maria,California,107408,99553,+7.89%,22.8,59.1,"4,662","1,800",34°56′00″N 120°26′38″W﻿ / ﻿34.9332°N 120.4438°W﻿ / 34.9332; -120.4438﻿ (Santa Maria)
284,Boulder,Colorado,107353,97385,+10.24%,24.8,64.2,"4,358","1,683",40°01′37″N 105°15′07″W﻿ / ﻿40.0270°N 105.2519°W﻿ / 40.0270; -105.2519﻿ (Boulder)
285,Greeley,Colorado,107348,92889,+15.57%,47.8,123.8,"2,176",840,40°24′55″N 104°46′11″W﻿ / ﻿40.4153°N 104.7697°W﻿ / 40.4153; -104.7697﻿ (Greeley)
286,Daly City,California,107008,101123,+5.82%,7.6,19.7,"14,009","5,409",37°42′03″N 122°27′54″W﻿ / ﻿37.7009°N 122.4650°W﻿ / 37.7009; -122.4650﻿ (Daly City)
287,Meridian,Idaho,106804,75092,+42.23%,29.8,77.2,"3,584","1,384",43°36′51″N 116°23′56″W﻿ / ﻿43.6142°N 116.3989°W﻿ / 43.6142; -116.3989﻿ (Meridian)
288,Lewisville,Texas,106586,95290,+11.85%,36.7,95.1,"2,852","1,101",33°02′48″N 96°58′54″W﻿ / ﻿33.0466°N 96.9818°W﻿ / 33.0466; -96.9818﻿ (Lewisville)
289,Davie,Florida,106558,91992,+15.83%,34.9,90.4,"2,919","1,127",26°04′45″N 80°17′06″W﻿ / ﻿26.0791°N 80.2850°W﻿ / 26.0791; -80.2850﻿ (Davie)
290,West Covina,California,106311,106098,+0.20%,16.0,41.4,"6,740","2,600",34°03′21″N 117°54′36″W﻿ / ﻿34.0559°N 117.9099°W﻿ / 34.0559; -117.9099﻿ (West Covina)
291,League City,Texas,106244,83560,+27.15%,51.2,132.6,"1,992",769,29°29′24″N 95°06′33″W﻿ / ﻿29.4901°N 95.1091°W﻿ / 29.4901; -95.1091﻿ (League City)
292,Tyler,Texas,105729,96900,+9.11%,56.6,146.6,"1,852",715,32°19′02″N 95°18′21″W﻿ / ﻿32.3173°N 95.3059°W﻿ / 32.3173; -95.3059﻿ (Tyler)
293,Norwalk,California,105120,105549,−0.41%,9.7,25.1,"10,946","4,226",33°54′27″N 118°05′01″W﻿ / ﻿33.9076°N 118.0835°W﻿ / 33.9076; -118.0835﻿ (Norwalk)
294,San Mateo,California,105025,97207,+8.04%,12.1,31.3,"8,592","3,317",37°33′37″N 122°18′38″W﻿ / ﻿37.5603°N 122.3106°W﻿ / 37.5603; -122.3106﻿ (San Mateo)
295,Green Bay,Wisconsin,104879,104057,+0.79%,45.4,117.6,"2,316",894,44°31′15″N 87°59′03″W﻿ / ﻿44.5207°N 87.9842°W﻿ / 44.5207; -87.9842﻿ (Green Bay)
296,Wichita Falls,Texas,104576,104553,+0.02%,72.2,187.0,"1,450",560,33°54′24″N 98°31′33″W﻿ / ﻿33.9067°N 98.5259°W﻿ / 33.9067; -98.5259﻿ (Wichita Falls)
297,Sparks,Nevada,104246,90264,+15.49%,35.9,93.0,"2,810","1,080",39°33′16″N 119°44′08″W﻿ / ﻿39.5544°N 119.7356°W﻿ / 39.5544; -119.7356﻿ (Sparks)
298,Lakewood,New Jersey,104157,92843,+12.19%,24.7,64.0,"4,079","1,575",40°04′38″N 74°12′01″W﻿ / ﻿40.0771°N 74.2004°W﻿ / 40.0771; -74.2004﻿ (Lakewood)
299,Burbank,California,103695,103340,+0.34%,17.4,45.1,"6,003","2,318",34°11′24″N 118°19′35″W﻿ / ﻿34.1901°N 118.3264°W﻿ / 34.1901; -118.3264﻿ (Burbank)
300,Rialto,California,103440,99171,+4.30%,22.3,57.8,"4,633","1,789",34°06′42″N 117°23′18″W﻿ / ﻿34.1118°N 117.3883°W﻿ / 34.1118; -117.3883﻿ (Rialto)
301,Allen,Texas,103383,84246,+22.72%,27.1,70.2,"3,715","1,434",33°05′59″N 96°39′47″W﻿ / ﻿33.0997°N 96.6631°W﻿ / 33.0997; -96.6631﻿ (Allen)
302,El Cajon,California,103241,99478,+3.78%,14.5,37.6,"7,156","2,763",32°48′06″N 116°57′37″W﻿ / ﻿32.8017°N 116.9604°W﻿ / 32.8017; -116.9604﻿ (El Cajon)
303,Las Cruces,New Mexico,102926,97618,+5.44%,76.9,199.2,"1,323",511,32°19′35″N 106°47′23″W﻿ / ﻿32.3264°N 106.7897°W﻿ / 32.3264; -106.7897﻿ (Las Cruces)
304,Renton,Washington,102153,90927,+12.35%,23.4,60.6,"4,314","1,666",47°28′34″N 122°11′31″W﻿ / ﻿47.4761°N 122.1920°W﻿ / 47.4761; -122.1920﻿ (Renton)
305,Davenport,Iowa,102085,99685,+2.41%,62.9,162.9,"1,631",630,41°33′15″N 90°36′14″W﻿ / ﻿41.5541°N 90.6040°W﻿ / 41.5541; -90.6040﻿ (Davenport)
306,South Bend,Indiana,101860,101168,+0.68%,41.4,107.2,"2,457",949,41°40′37″N 86°16′08″W﻿ / ﻿41.6769°N 86.2690°W﻿ / 41.6769; -86.2690﻿ (South Bend)
307,Vista,California,101224,93834,+7.88%,18.7,48.4,"5,436","2,099",33°11′22″N 117°14′19″W﻿ / ﻿33.1895°N 117.2386°W﻿ / 33.1895; -117.2386﻿ (Vista)
308,Tuscaloosa,Alabama,101113,90468,+11.77%,71.7,185.7,"1,399",540,33°12′23″N 87°32′05″W﻿ / ﻿33.2065°N 87.5346°W﻿ / 33.2065; -87.5346﻿ (Tuscaloosa)
309,Clinton,Michigan,100800,96796,+4.14%,28.1,72.8,"3,573","1,380",42°35′25″N 82°55′01″W﻿ / ﻿42.5903°N 82.9170°W﻿ / 42.5903; -82.9170﻿ (Clinton)
310,Edison,New Jersey,100693,99967,+0.73%,30.1,78.0,"3,389","1,309",40°30′14″N 74°20′58″W﻿ / ﻿40.5040°N 74.3494°W﻿ / 40.5040; -74.3494﻿ (Edison)
311,Woodbridge,New Jersey,100450,99585,+0.87%,23.3,60.3,"4,351","1,680",40°33′39″N 74°17′34″W﻿ / ﻿40.5607°N 74.2927°W﻿ / 40.5607; -74.2927﻿ (Woodbridge)
312,San Angelo,Texas,100215,93200,+7.53%,59.9,155.1,"1,681",649,31°26′28″N 100°27′02″W﻿ / ﻿31.4411°N 100.4505°W﻿ / 31.4411; -100.4505﻿ (San Angelo)
313,Kenosha,Wisconsin,100164,99218,+0.95%,28.0,72.5,"3,577","1,381",42°34′56″N 87°50′44″W﻿ / ﻿42.5822°N 87.8456°W﻿ / 42.5822; -87.8456﻿ (Kenosha)
314,Vacaville,California,100154,92428,+8.36%,29.0,75.1,"3,449","1,332",38°21′14″N 121°58′22″W﻿ / ﻿38.3539°N 121.9728°W﻿ / 38.3539; -121.9728﻿ (Vacaville)
